name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
SR-65,5239,104025,104019,highway,1,0.518939394,1,1618,53,1,,1618,0.15,4,1,1,100
HILLVILLE RD,5240,104025,104024,arterial,1,0.661742424,1,1502,37,1,,1502,0.25,3,1,1,100
HILLVILLE RD,5241,104025,104082,arterial,1,0.344507576,1,1502,17,1,,1502,0.25,3,1,1,100
SR-115,5242,104026,104027,arterial,1,0.128598485,1,1734,46,1,,1734,0.25,3,1,1,100
0,5243,104026,104031,on-ramp,1,0.261174242,1,2112,49,1,,2112,0.15,4,1,1,100
SR-115,5244,104026,104045,arterial,1,0.105681818,1,1734,48,1,,1734,0.25,3,1,1,100
SR-115,5245,104027,104026,arterial,1,0.128598485,1,1734,46,1,,1734,0.25,3,1,1,100
SR-115,5246,104027,104054,arterial,1,0.101136364,1,1734,46,1,,1734,0.25,3,1,1,100
SR-65,5247,104028,104029,highway,1,0.365719697,1,1618,49,1,,1618,0.15,4,1,1,100
0,5248,104028,104038,on-ramp,1,0.336742424,1,2112,49,1,,2112,0.15,4,1,1,100
SR-65,5249,104028,104049,highway,1,0.107954545,1,1618,53,1,,1618,0.15,4,1,1,100
PERRYSBURG ST,5250,104029,104020,highway,1,0.083712121,1,1491,33,1,,1491,0.15,4,1,1,100
SR-65,5251,104029,104028,highway,1,0.365719697,1,1734,51,1,,1734,0.15,4,1,1,100
PERRYSBURG ST,5252,104030,104020,highway,1,0.079734848,1,1491,35,1,,1491,0.15,4,1,1,100
SR-65,5253,104030,104059,highway,1,0.452083333,1,1618,51,1,,1618,0.15,4,1,1,100
US-30,5254,104031,103588,freeway,1,0.33219697,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5255,104032,104043,freeway,1,0.23030303,2,4224,68,1,,4224,0.15,4,1,1,100
0,5256,104032,104044,on-ramp,1,0.327462121,1,1734,49,1,,1734,0.15,4,1,1,100
0,5257,104033,104028,on-ramp,1,0.317613636,1,1618,49,1,,1618,0.15,4,1,1,100
US-30,5258,104033,104048,freeway,1,0.343181818,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5259,104034,104033,freeway,1,0.860606061,2,3468,68,1,,3468,0.15,4,1,1,100
US-30,5260,104035,104036,freeway,1,0.887121212,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5261,104036,104069,freeway,1,0.185416667,2,4224,68,1,,4224,0.15,4,1,1,100
0,5262,104037,104026,on-ramp,1,0.296969697,1,1734,49,1,,1734,0.15,4,1,1,100
US-30,5263,104037,104042,freeway,1,0.242234848,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5264,104038,104037,freeway,1,1.697159091,2,3468,68,1,,3468,0.15,4,1,1,100
US-30,5265,104039,104040,freeway,1,1.574431818,2,4224,68,1,,4224,0.15,4,1,1,100
0,5266,104040,104046,on-ramp,1,0.343560606,1,1618,49,1,,1618,0.15,4,1,1,100
US-30,5267,104040,104047,freeway,1,0.361931818,2,4224,68,1,,4224,0.15,4,1,1,100
West,5268,104041,101910,arterial,1,0.527083333,1,1676,47,1,,1676,0.25,3,1,1,100
SR-115,5269,104041,104044,arterial,1,0.100568182,1,1734,48,1,,1734,0.25,3,1,1,100
US-30,5270,104042,104031,freeway,1,0.293371212,2,4224,68,1,,4224,0.15,4,1,1,100
US-30,5271,104043,104039,freeway,1,0.290909091,2,4224,68,1,,4224,0.15,4,1,1,100
0,5272,104044,104039,on-ramp,1,0.219318182,1,1734,49,1,,1734,0.15,4,1,1,100
